WKT,OBJECTID
"MULTILINESTRING ((777299.488945657 77085.9730623296,777296.258649137 77086.4164615826,777286.345860089 77084.5286628372))","18827"
"MULTILINESTRING ((764568.558852584 85672.3842679086,764573.235647493 85671.8304689196,764621.783992931 85686.3506570604,764651.95135826 85704.2915398571,764682.55642153 85740.7036023234,764703.805294563 85783.0819574097,764716.360776649 85831.2137054086,764727.046864676 85833.9829032699,764720.573069578 85859.7570742921,764667.155815812 86004.7594098043,764682.498895743 86042.2663697588,764827.339029784 86122.4445937743,764920.342131451 86078.1370506205,765016.981721446 86123.3214090979,765061.63757255 86121.6868147364,765062.428172669 86110.1892274816,765070.671463796 86108.0890305056,765073.671459657 86117.9382199057,765108.412321327 86120.0534205576,765146.486378073 86136.8955052604,765245.199058817 86263.2814744069,765361.685231581 86255.6046928905,765379.275011467 86264.9057841507,765388.517401537 86262.370387742,765389.852300094 86262.1485881019,765385.283604471 86269.5641795335,765394.968793257 86276.310772928,765411.672674249 86284.0629658195,765430.133850859 86320.3664273897,765438.142840683 86336.41261039,765439.007434952 86391.9467492467,765377.274697653 86450.8764789647,765372.142102068 86465.032762916))","18832"
"MULTILINESTRING ((771720.182272861 83820.1611170267,771716.51417695 83819.2781176841,771685.669511654 83807.8642275872,771692.698205333 83791.825845797,771699.382999595 83773.3579666454,771687.590413484 83761.7320784076,771680.459321357 83760.8471787721,771678.564023373 83761.5044778878,771678.788223167 83761.059478395))","18846"
"MULTILINESTRING ((770557.790333433 87425.6211555617,770567.149923911 87417.3293654943,770597.771789854 87423.4319614636,770624.96076245 87396.4539934945,770648.151040998 87351.4409449986,770660.398227134 87356.6477403444,770675.802615644 87295.1462092904,770680.493312501 87272.3590347458,770649.791051268 87213.2643970196,770651.028351749 87192.2453202293,770663.957539208 87173.7775416581,770741.49215796 87132.2256940926,770770.709231857 87064.8686706723,770810.931090647 87032.5880096575,770823.406977434 87027.5063163293,770862.504035796 87014.2534343024,770932.55395926 87012.7454420683,770973.974712836 87025.270931915,771001.139381821 87040.0007180991,771019.585155522 87110.040742742,771058.229713323 87108.9570473044))","18849"
"MULTILINESTRING ((775238.841584239 80806.424619689,775236.708286009 80813.0984122004,775231.046590699 80830.8105923221,775225.107594729 80860.0446598015,775224.901594868 80861.080658648,775225.34759273 80880.7943370899,775226.864380663 81004.971301187,775219.103389062 81005.7835996459,775218.891688133 81019.6477844403,775226.279980099 81019.3090854312,775226.01677194 81119.9218751905,775226.908562389 81222.0541633807,775245.694035557 81297.4604823516,775277.311694465 81375.9094990726,775281.544986442 81416.3342551432,775273.475295111 81417.9783526642,775275.591891721 81430.8106387843,775282.530384238 81429.781140496,775300.495251663 81583.8472732304,775302.182549107 81592.3388640717))","18865"
"MULTILINESTRING ((772834.101034648 79299.0488720127,772839.493829359 79291.7903804181))","18866"
"MULTILINESTRING ((766395.885995728 87419.6259994013,766396.652793603 87434.3629832289))","18867"
"MULTILINESTRING ((774321.253746702 82456.0339347055,774321.588546268 82456.8180338757),(774321.135546866 82455.6300351384,774321.253746702 82456.0339347055),(774320.998547037 82455.3770354043,774321.135546866 82455.6300351384),(774321.135546866 82455.6300351384,774321.253546746 82455.509035282,774321.38654656 82456.0060347483,774321.253746702 82456.0339347055))","18868"
"MULTILINESTRING ((774320.852247201 82455.3254354483,774320.322847765 82455.4999352119))","18869"
"MULTILINESTRING ((764049.760291106 87200.3842377485,764032.813607509 87226.0409079738,764039.941899225 87231.2469028465,764048.954288663 87238.8832952017,764048.402689124 87240.5426933226))","18875"
"MULTILINESTRING ((773596.049970216 80891.3660891068,773615.231149615 80887.2606952133,773613.626851764 80882.4943003047,773564.282721319 80694.9462018259,773557.119833202 80646.2907545781,773571.56611759 80644.332857929,773569.714020684 80631.474071875,773553.746137969 80633.3274685094,773541.932757368 80555.4327529347,773519.669794043 80407.0563137721,773532.290081035 80397.7883249849,773582.038626343 80402.2218242686,773599.521907101 80404.0026237729,773668.483030916 80414.6214178751,773718.092477673 80403.5088341936,773838.001752726 80331.7833228163,773931.92895484 80275.8340919717,774050.14493176 80204.0657804827,774066.416811981 80228.2752553003,774094.250983055 80210.7597768168,774125.868750324 80189.3285029397,774114.576464308 80169.409023832,774222.679850685 80116.8193904678,774292.157377888 80080.2889362858,774366.661990872 80148.7501674557,774393.835361123 80149.8683684922))","18888"
"MULTILINESTRING ((765151.311945222 85291.1529380812,765156.202339737 85292.4909370234,765178.251514366 85306.1062238965,765170.22542196 85320.3723074848))","18889"
"MULTILINESTRING ((765545.093312233 92146.3712132333,765518.380643201 92128.3196307463))","18900"
"MULTILINESTRING ((774287.253488425 82401.6879914028,774287.436488213 82401.8049912902,774286.707489352 82397.7649956567,774286.750389308 82397.7228957071))","18901"
"MULTILINESTRING ((774286.965288731 82401.767191291,774287.239588432 82401.7879912912,774286.583189448 82398.2299951356,774286.651489382 82398.1179952648))","18902"
"MULTILINESTRING ((774293.592179955 82420.0145718497,774293.460580052 82420.5549712458,774293.99657947 82420.5019713478,774294.093979416 82419.8693720499),(774293.99657947 82420.5019713478,774294.051579411 82420.4879713677,774292.648481299 82416.2699758744,774293.459580437 82415.9999762377,774293.099580929 82414.8261774949,774292.859481258 82414.0429783333))","18903"
