WKT,OBJECTID
"MULTILINESTRING ((766588.650317217 84712.0547988074,766622.959580428 84702.1151126782))","23800"
"MULTILINESTRING ((775314.881759717 78901.3123126713,775316.990957353 78902.0923119904,775314.31375912 78916.0285965069))","23802"
"MULTILINESTRING ((740609.741641982 71719.3209416782,740578.325475109 71743.7555120814,740585.115866867 71753.1595020845,740613.492532799 71787.2338661369,740625.638119882 71779.2750759191,740634.653509801 71780.0578757105,740758.184260893 71936.5156101754,740766.643950552 71949.1278967207,740771.544245202 71947.8042985607,740771.208245569 71947.9154984106))","23803"
"MULTILINESTRING ((742688.799457122 68631.7416375894,742679.573969883 68596.7851758909))","23804"
"MULTILINESTRING ((777293.611486497 77886.5298862682,777305.511471746 77908.3286634017))","23807"
"MULTILINESTRING ((719449.441298322 71923.6861768229,719478.284967344 71902.9047023615))","23808"
"MULTILINESTRING ((773378.145337594 79333.9594786419,773410.539399671 79364.8378474638))","23825"
"MULTILINESTRING ((765547.326310088 92142.9416172185,765521.725540011 92122.8972370276))","23826"
"MULTILINESTRING ((772269.569378245 80183.341955206,772296.970848896 80176.170265351,772309.0895331 80206.9355326002,772251.726494226 80225.7101072362,772250.941995037 80226.2569065716))","23827"
"MULTILINESTRING ((766201.196109258 87421.1726807796,766207.240402677 87420.5827819554))","23832"
"MULTILINESTRING ((772069.759288541 85011.531638834,772052.84780949 84982.9789687294))","23834"
"MULTILINESTRING ((732789.166966162 76969.964778884,732799.190354993 76969.5240801415,732819.338432333 76971.4149795538))","23835"
"MULTILINESTRING ((772409.868916424 85014.3820649837,772407.418618399 85022.5687557852,772407.97561735 85027.659950244,772406.080519376 85028.2060494815,772411.203313501 85031.4173463976))","23836"
"MULTILINESTRING ((766073.68834203 87503.7754786646,766084.033329663 87515.4000667529,766120.09878694 87551.4822301228,766142.908458604 87589.439190276,766154.694343765 87611.348067156,766156.362941575 87615.4474627824,766171.165623731 87633.8159438274,766243.59883429 87748.0322242634,766260.411316038 87745.7145282812,766260.29641574 87750.5826229071,766269.426789087 87941.4195133959,766190.552470064 88005.5407358502,766174.49118392 88048.7790867952,766173.007079937 88113.0564158245,766190.113655083 88182.6484406201,766239.733193405 88265.2041539725,766242.512890064 88268.5253505556,766251.635179053 88279.9267387875,766243.945486362 88292.8668238554,766242.152186755 88310.9013038217,766251.561368046 88406.7026990628,766269.039546741 88430.942373879,766308.105601379 88459.2839460636,766303.535905611 88468.2480357834,766360.420640644 88497.156308908,766385.008109617 88543.302260207,766386.340107737 88548.0599550808,766389.119304328 88552.150750816,766392.346300388 88556.6870460993,766443.523836885 88640.3564583799,766451.290522842 88703.3040896936,766434.450538382 88736.8150512868,766344.775132426 88786.7699883634,766305.560672471 88820.9262472764,766245.131729156 88930.7441209351,766241.009732825 88940.4780098453,766240.991930181 88970.7904764347,766243.751223807 89008.8472347302,766263.878597931 89051.8934890566,766285.021572075 89081.995657738,766294.030059529 89112.2021252376,766311.199927332 89263.8854595683,766320.304113654 89305.7013142844,766362.07105188 89486.3855188222,766469.00602224 89625.2885751702,766493.268293217 89652.4070474272,766508.181775078 89672.4355266718,766504.70817589 89706.3994889329,766481.863098943 89729.2801616968,766432.066151005 89758.6821248906,766343.591640437 89845.5798212885,766336.044948106 89852.5551129334))","23838"
"MULTILINESTRING ((771046.395972135 87727.9297660701,771074.576542048 87719.317078005))","23839"
"MULTILINESTRING ((776504.163172712 78784.3489389457,776424.698367186 78689.1621365539,776323.940482063 78627.9226952617,776178.761947528 78540.4437790362,776177.422049664 78532.2547878894,776167.981763875 78484.6776391867,776159.190473806 78480.4721430663,776128.347508868 78462.9754596761,776104.840832896 78482.325436559,776095.147242892 78489.2846281433,776069.094172889 78469.917347196,776025.56322299 78437.808278758,775999.419454917 78396.1945221592,775960.368204236 78314.1884087142,775957.889319081 78166.4917701891,775970.584505161 78167.4999701275,775969.582207161 78156.4364821558,775959.892817789 78155.6522822181,775964.717918108 78087.7280569674,775959.501125448 78067.5838785889,775955.947131175 78045.0200029966,775997.981192275 77960.6278988253,776003.78118785 77937.5033246124,776019.40147555 77879.8688889784))","23841"
"MULTILINESTRING ((766201.237409332 87419.8029822913,766207.223902777 87419.6329829987))","23857"
"MULTILINESTRING ((766201.229109321 87420.0328820383,766207.223902765 87419.7829828339))","23858"
"MULTILINESTRING ((738468.224331615 72977.9020770936,738475.457723628 72977.0244786129,738498.058897935 72984.1080723733,738503.534094485 72948.5002125864,738480.039421614 72935.4365254446,738483.60901841 72925.0451373261,738487.290315021 72915.5345482311,738566.816850775 72587.9480203197,738591.767823684 72578.6598325495,738595.440020351 72568.4910441878,738622.493389755 72574.9182390084))","23861"
"MULTILINESTRING ((769014.758582568 92389.8773575456,768968.97903217 92396.3771462526,768972.531026256 92418.7269219695,768973.64102493 92419.9423207316))","23863"
"MULTILINESTRING ((737821.284845596 71711.1739455457,737886.428474692 71688.7471754065))","23864"
"MULTILINESTRING ((734720.765676089 77396.4408482329,734721.573480866 77322.3300313605,734793.283800524 77326.126132601,734792.694396171 77391.4947592915))","23866"
