WKT,OBJECTID,LENGTH
"MULTILINESTRING ((731029.281147963 76784.255753603,731018.826460849 76768.5467704545))","22",
"MULTILINESTRING ((770840.258014172 86393.1618149205,770848.274905167 86395.8185126975))","94",
"MULTILINESTRING ((739571.87795868 72229.6707950748,739573.54845682 72229.6714951984,739574.994755129 72230.7754940717,739576.665353279 72230.664894319,739590.915837243 72233.1093926417,739631.99559084 72242.5278851604,739642.596682073 72201.6097316538,739738.566973521 72225.6538118947,739739.901071946 72226.8689106361,739741.683569962 72226.8695107675,739746.479566043 72207.7360324943,739762.755652629 72144.2543046057,739765.662950228 72132.9726174232,739781.500637384 72068.3873907328,739776.496044177 72051.7900089017,739761.139562258 72038.2846228523,739775.061247807 72024.2448395624,739499.909670749 71796.2802739062,739505.697564554 71792.9636780376,739497.021274803 71784.8848864227,739490.337481986 71788.3122821011,739226.321592789 71556.9139211865,739212.845607946 71554.6924226764,739194.305437461 71433.789256395,739180.888662801 71291.8803139585))","97",
"MULTILINESTRING ((731325.853955449 78885.1955166629,731535.169821099 78887.8303298666,731598.080150797 78886.9781356829,731747.266783631 78890.9115427899,731753.174177006 78891.1366429948,731798.930525738 78892.3718451421,731800.258323101 78907.3075284732,731801.928421151 78908.3003274887))","98",
"MULTILINESTRING ((766239.545431819 88970.2332769201,766228.970144864 88953.8607940375,766218.403857873 88937.8128107963,766203.153276268 88918.9897302025,766181.003302002 88902.8330460645,766149.278038489 88883.8981641505,766140.147148224 88887.2031597056,766126.888962215 88893.6120514776,766095.61359852 88871.1446734965,766105.198289154 88857.9830888437,766109.20778552 88849.2412988327))","118",
"MULTILINESTRING ((769795.03469955 85918.1749465475,769773.520420561 85947.6967122291,769741.908457206 85924.2273353048,769753.838945688 85906.3097560365,769755.836343471 85906.6447558389))","119",
"MULTILINESTRING ((768428.526946832 91038.8095922597,768430.926644177 91039.0725921848,768431.331543994 91036.1372954527,768437.575737119 91036.4547956612,768456.414116454 91036.56069723,768457.39661315 91061.4252699412,768458.055412428 91061.4275699993))","120",
"MULTILINESTRING ((769964.533214286 85914.2848654644,769951.617128878 85909.084570065,769920.549163893 85897.5590800538,769921.656960816 85919.1285564361,769844.268847632 85895.076576196,769844.961649988 85859.0147159064,769806.752391381 85864.1948069115,769783.712617662 85852.0155183132,769775.914525655 85858.3167107123))","121",
"MULTILINESTRING ((761127.637985304 90861.5529383536,761124.134489249 90860.5946391029),(761131.260381189 90863.0049370687,761131.334381167 90862.3142378406,761129.28778346 90861.8705381493),(761130.855381509 90864.418035471,761123.622489636 90862.5846368581),(761123.353789841 90863.6288356789,761126.97388578 90864.4650350756),(761128.563283998 90864.8166348276,761130.601881711 90865.3023344715),(761123.192289961 90864.2566349714,761130.359281903 90866.1490335138),(761122.635090384 90866.4222325274,761125.809086815 90867.2430319022,761129.75598238 90868.2540311328),(761129.542982548 90868.9970302914,761122.44219053 90867.1722316811),(761129.320182726 90869.7745294117,761122.272590659 90867.8310309379))","157",
"MULTILINESTRING ((761121.776791008 90870.0528284375,761121.601191248 90869.5289290003,761120.183092849 90869.0844293672,761118.955394238 90868.6611297275,761113.236900673 90867.1117309339))","158",
