OBJECTID,WELL_UWI,WELL_NAME,WELL_NAME_,WELL_NAM_1,ASSET_AREA,SUB_PROD_A,WELL_NAM_2,Longitude,Latitude
4576,MINA01766D1,6C-28N,6C-28N,M1766,MINAS,SLS,MINA01766D1 6C-28N M1766,769085.871300,86231.931920
4577,MINA01767D1,5D-75N,5D-75N,M1767,MINAS,SLS,MINA01767D1 5D-75N M1767,769922.870200,87285.250900
4578,MINA01768D1,6C-18N,6C-18N,M1768,MINAS,SLS,MINA01768D1 6C-18N M1768,769080.861300,86236.721930
4579,MINA01769D1,5D-23N,5D-23N,M1769,MINAS,SLS,MINA01769D1 5D-23N M1769,768755.411400,88777.049090
4580,MINA01770D1,4E-93E,4E-93E,M1770,MINAS,SLS,MINA01770D1 4E-93E M1770,770239.579800,88915.279090
4581,MINA01771D1,7D-13N,7D-13N,M1771,MINAS,SLS,MINA01771D1 7D-13N M1771,771889.398500,83413.835280
4582,MINA01772D1,8E-94N,8E-94N,M1772,MINAS,SLS,MINA01772D1 8E-94N M1772,776569.713700,78845.750700
4583,MINA01773D1,7D-23E,7D-23E,M1773,MINAS,SLS,MINA01773D1 7D-23E M1773,771881.628500,83415.805330
4584,MINA01774D1,5D-94N,5D-94N,M1774,MINAS,SLS,MINA01774D1 5D-94N M1774,769183.511100,86808.601370
4585,MINA01775D1,6D-51N,6D-51N,M1775,MINAS,SLS,MINA01775D1 6D-51N M1775,769743.980600,85001.933330
4586,MINA01776D1,5D-72E,5D-72E,M1776,MINAS,SLS,MINA01776D1 5D-72E M1776,769177.601200,86804.851360
4587,MINA01777D1,6D-85E,6D-85E,M1777,MINAS,SLS,MINA01777D1 6D-85E M1777,771512.408900,84232.904310
4588,MINA01778D1,5B-56E,5B-56E,M1778,MINAS,SLS,MINA01778D1 5B-56E M1778,764095.266600,87875.579720
4589,MINA01779D1,5C-56,5C-56,M1779,MINAS,SLS,MINA01779D1 5C-56 M1779,767108.683300,87804.900000
4590,MINA01780D1,7D-94N,7D-94N,M1780,MINAS,SLS,MINA01780D1 7D-94N M1780,772142.928300,81454.437390
4591,MINA01781D1,7D-85N,7D-85N,M1781,MINAS,SLS,MINA01781D1 7D-85N M1781,772540.977900,81739.347190
4592,MINA01782D1,5C-85,5C-85,M1782,MINAS,SLS,MINA01782D1 5C-85 M1782,766976.713500,87140.890730
4593,MINA01783D1,5D-14E,5D-14E,M1783,MINAS,SLS,MINA01783D1 5D-14E M1783,769175.221000,89001.788850
4594,MINA01784D1,8E-73E,8E-73E,M1784,MINAS,SLS,MINA01784D1 8E-73E M1784,776628.193600,79479.420020
4595,MINA01785D1,8E-72E,8E-72E,M1785,MINAS,SLS,MINA01785D1 8E-72E M1785,776623.623700,79485.420020
4596,MINA01786D1,8E-64N,8E-64N,M1786,MINAS,SLS,MINA01786D1 8E-64N M1786,776619.053700,79491.389930
4597,MINA01787D1,3B-79,3B-79,M1787,MINAS,SLS,MINA01787D1 3B-79 M1787,762133.148400,92175.314710
4598,MINA01788D1,5D-25E,5D-25E,M1788,MINAS,SLS,MINA01788D1 5D-25E M1788,769550.680600,88066.629970
4599,MINA01789V1,7D-33E,7D-33E,M1789,MINAS,SLS,MINA01789V1 7D-33E M1789,771790.498700,82902.645820
4600,MINA01790D1,7D-43E,7D-43E,M1790,MINAS,SLS,MINA01790D1 7D-43E M1790,771775.968600,82889.455820
4601,MINA01791D1,5C-16,5C-16,M1791,MINAS,SLS,MINA01791D1 5C-16 M1791,766986.933300,88946.958760
